Small Niltava,356
Fujian Niltava,294
Rufous-bellied Niltava,303
Vivid Niltava,295
White-tailed Flycatcher,301
Hainan Blue-Flycatcher,352
Pale-chinned Flycatcher,463
Pale Blue Fltcatcher,396
Blue-throated Flycatcher,453
Hill Blue-Flycatcher,397
Pygmy Blue-Flycatcher,469
Grey-headed Canary-Flycat,319
European Robin,481
Japanese Robin,275
Ryukyu Robin,278
Common Nightingale,777
Common Nightingale,777
Siberian Rubythroat,461
White-tailed Rubythroat,292
Bluethroat,0
Rufous-headed Robin,443
Blackthroated,452
Firethroat,197
Indian Blue Robin,282
Siberian Blue Robin,448
Orange-flanked Bush-Robin,352
Golden Bush-Robin,337
White-browed Bush-Robin,0
Rufous-breasted Bush Robi,265
Collared Bush-Robin,446
Oriental Magpie-Robin,490
White-rumped Shama,322
Ala Shan Redstart,401
Rufous-backed Redstart,454
Blue-capped Redstart,457
Black Redstart,485
Common Redstart,333
Hodgson's Redstart,310
White-throated Redstart,242
Daurian Redstart,323
White-winged Redstart,313
Blue-fronted Redstart,323
White-capped Water-Redstart,310
Plumbeous Water-Redstart,224
White-bellied Redstart,74
White-tailed Robin,6
Blue-fronted Robin,0
Grandala,163
Little Forktail,0
Black-backed Forktail,0
Slaty-backed Forktail,203
White-crowned Forktail,265
Spotted Forktail,285
Purple Cochoa,328
Green Cochoa,626
Green Cochoa,626
White-throated Bushchat,441
Common Stonechat,468
Pied Bushchat,415
Jerdon's Bushchat,426
Grey Bushchat,405
Northern Wheatear,482
Variable Wheatear,365
Pied Wheatear,461
Desert Wheatear,341
Isabelline Wheatear,487
Chestnut-tailed Starling,0
Brahminy Starling,405
Silky stanling,9
Purple-backed Starling,318
Chestnut-cheeked Starling,416
White-shouldered Starling,147
Rosy Starling,448
Common Starling,488
White-cheeked Starling,413
Asian Pied Starling,354
Black-collared Starling,356
Vinous-breasted Starling,446
Common Myna,431
Bank Myna,357
White-vented Myna,351
Collared Myna,446
Crested Myna,411
Golden-crested Myna,416
Hill Myna,411
Eurasion Nuthatch,427
Chestnut-vented Nuthatch,428
Chestnut-bellied Nuthatch,286
White-tailed Nuthatch,413
Snowy-browed Nuthatch,432
Yunnan Nuthatch,405
White-cheeked Nuthatch,292
Velvet-fronted Nuthatch,324
Yellow-billed Nuthatch,299
Giant Nuthatch,331
Beautiful Nuthatch,288
Wallcreeper,279
Eurasian Tree-Creeper,143
Bar-tailed Tree-Creeper,328
Rusty-flanked Treecreeper,329
Brown-throated Treecreeper,0
Wren,329
White-erowned penduline Tit,411
Chinese Penduline Tit,283
Fire-capped Tit,376
Marsh Tit,465
Willow Tit,0
White-browed Tit,294
Rusty-breasted Tit,311
Siberian Tit,428
Rufous-naped Tit,447
Rufous-vented Tit,418
Coal Tit,483
Yellow-bellied Tit,685
Grey-crested Tit,413
Great Tit,462
Turkestan Tit,319
Green-backed Tit,292
Yellow-cheeked Tit,288
Yellow Tit,325
Azure Tit,307
Yellow-breasted Tit,436
Varied Tit,291
Yellow-browed Tit,305
Sultan Tit,281
Long-tailed Tit,321
Black-throated Tit,262
Rufous-fronted Tit,0
Black-browed Tit,0
Sooty Tit,0
White-eyed River Martin,0
Sand Martin,0
Plain Martin,141
Eurasian Crag-Martin,286
Dusky Crag-Martin,365
Barn Swallow,459
Pacific Swallow,0
Red-rumped Swallow,466
Striated Swallow,410
Northern House-Martin,366
Asian House-Martin,238
Nepal House-Martin,79
Goldcrest,252
Flamecrest,138
Crested Finchbill,270
Collared Finchbill,417
Striated Bulbul,444
Black-headed Bulbul,334
Black-crested Bulbul,379
Red-whiskered Bulbul,458
Brown-breasted Bulbul,469
Light-vented Bulbul,398
Tavaau Bulbul,10
Himalayan Bulbul,452
Red-vented Bulbul,466
Sooty-headed Bulbul,360
Stripe-throated Bulbul,214
Flavescent Bulbul,312
Yellow-bcllied Bulbul,318
White claroated Bulbul,286
Grey-eyed Bulbul,334
Brown-eared Bulbul,271
Ashy Bulbul,310
Chestnut Bulbul,410
Mountain Bulbul,376
Madagascar Bulbul,397
Zitting Cisticola,333
Gololeu-tuaded Fautail Walolcr,24
White-browed Chinese Warb,175
Striated Prinia,447
Brown Prinia,241
Hill Prinia,383
Rufescent Prinia,433
Grey-breasted Prinia,395
Yellow-bellied Prinia,278
Plain Prinia,245
Chestnut-flanked White-ey,181
Oriental White-eye,279
Japanese White-eye,257
Chestnut-headed Tesia,228
Slaty-bellied Tesia,0
Grey-bellied Tesia,180
Asian Stubtail,201
Pale-footed Bush-Warbler,0
Manchurian Bush Warbler,200
Japanese Bush-Warbler,109
Brownish-flanked Bush-War,50
Chestnut-crowned Bush-War,105
Aberrant Bush-Warbler,270
Yellowish-bellied Bush Warbler,443
Grey-sided Bush-Warbler,445
Cetti's Warbler,428
Spotted Bush-Warbler,458
Long-billed Bush-Warbler,0
Chinese BushWarbler,395
Brown Bush-Warbler,379
Russet Bush-Warbler,279
Lanceolated Warbler,386
Grasshopper Warbler,324
Rusty-rumped Warbler,0
Middendorff's Warbler,395
Pleske's Warbler,263
Savi's Warbler,313
Gray's Warbler,336
Stuak-bachel Suamp Wabler,66
Sedge Warbler,327
Streaked Reed-Warbler,286
Black-browed Reed Warbler,299
Paddyfield Warbler,290
Manchurian Reed Warbler,290
Blunt-winged Warbler,271
Eurasian Reed-Warbler,309
Blyth's Reed Warbler,321
Great Reed-Warbler,341
Oriental Reed Warbler,292
Clamorous Reed-Warbler,456
Thick-billed Warbler,375
Booted Warbler,416
Sykes's Warbler,287
Olivaceous Warbler,433
Mountain Tailorbird,0
Common Tailorbird,239
Dark-necked Tailorbird,266
White-browed Tit-Warbler,215
Crested Tit Warbler,289
Common Chiffchaff,327
Mountain Chiffchaff,292
Wood Warbler,311
Dusky Warbler,224
Smoky Warbler,271
Tickell's Leaf Warbler,274
Buff-throated Warbler,452
Sulphur-bellied Warbler,434
Yellow-streaked Warbler,323
Radde's Warbler,403
Orange-barred Warbler,310
Ashy-throated Warbler,442
Yellow-rumped Warbler,496
Lemon-rumped Warbler,420
Gansu Leaf Warbler,245
Sichuan Leaf-Warbler,396
Yellow-browed Warbler,334
Hume's Warbler,228
Arctic Warbler,329
Greenish Warbler,282
Two-barredWarbler,284
Pale-legged Warbler,0
Large-billed Warbler,304
Eastern Crowned Warbler,307
Emei Leaf Warbler,237
Blyth's Leaf-Warbler,287
White-tailed Leaf-Warbler,0
Hainan Leaf Warbler,223
Yellow-vented Warbler,166
Sulphur-breasted Warbler,233
Golden-spectacled Warbler,260
Grey-hooded Warbler,412
White-spectacled Warbler,454
Grey-cheeked Warbler,447
Chestnut-crowned Warbler,447
Broad-billed Warbler,459
Rufous-faced Warbler,300
Black-faced Warbler,324
Yellow-bellied Warbler,353
Striated Grassbird,0
Rufous-rumped Grassbird,0
Masked Laughingthrush,0
White-throated Laughingth,0
White-crested Laughingthr,0
Lesser Necklaced Laughingthrus,313
Greater Necklaced Laughingthru,357
Striated Laughingthrush,225
White-necked Laughingthrush,191
Grey Laughingthrush,181
Rufous-necked Laughingthrush,439
Black-throated Laughingthrush,344
Yellow-throated Laughingthrush,456
Rufous-vented Laughingthrush,416
Plain Laughingthrush,425
Sukatschev's Laughing thrush,390
Moustached Laughingthrush,447
Rufous-chinned Laughingthrush,440
Barred Laughingthrush,455
White-speckled Laughingthrush,446
Giant Laughingthrush,430
Spotted Laughingthrush,424
Grey-sided Laughingthrush,431
Rusty Laughingthrush,465
Spot-breasted Laughingthrush,447
Hwamei,320
White-browed Laughingthrush,416
Streaked Laughingthrush,178
Blue-winged Laughingthrush,0
Scaly Laughingthrush,0
Elliot's Laughingthrush,401
Variegated Laughingthrush,415
Brown-cheeked Laughingthrush,438
Black-faced Laughingthrush,448
White-whiskered Laughingthrush,343
Chestnut-crowned Laughingthrus,303
Red-winged Laughingthrush,458
Red-tailed Laughingthrush,0
Red-faced Liocichla,0
Omei Shan Liocichla,0
Steere's Liocichla,0
Buff-breasted Babbler,0
Spot-throated Babbler,421
Puff-throated Babbler,422
Large Scimitar-Babbler,439
Spot-breated Scimitar Babbler,444
Rusty-cheeked Scimitar-Ba,195
White-browed Scimitar Babbler,398
Streak-breasted Scimitar Babbler,439
